"s","birthName"
"http://dbpedia.org/resource/Geoffrey_Hill","Geoffrey William Hill"
"http://dbpedia.org/resource/Novalis","Georg Philipp Friedrich Freiherr von Hardenberg"
"http://dbpedia.org/resource/George_Bacovia","George Andone Vasiliu"
"http://dbpedia.org/resource/George_Starbuck","George Edwin Starbuck"
"http://dbpedia.org/resource/Lord_Byron","George Gordon Byron"
"http://dbpedia.org/resource/Robert_Conquest","George Robert Acworth Conquest"
"http://dbpedia.org/resource/Georges_Rodenbach","Georges Raymond Constantin Rodenbach"
"http://dbpedia.org/resource/Đura_Jakšić","Georgije Jakšić"
"http://dbpedia.org/resource/Gerhart_Hauptmann","Gerhart Johann Robert Hauptmann"
"http://dbpedia.org/resource/Jean_Garrigue","Gertrude Louise Garrigus"
"http://dbpedia.org/resource/Moeen_Nizami","Ghulam Moeen Ud Din"
"http://dbpedia.org/resource/Guru_Gobind_Singh","Gobind Rai"
"http://dbpedia.org/resource/Grace_Beacham_Freeman","Grace Beacham"
"http://dbpedia.org/resource/Grace_Paley","Grace Goodside"
"http://dbpedia.org/resource/Gregory_Corso","Gregory Nunzio Corso"
"http://dbpedia.org/resource/Ágnes_Gergely","Guttmann Ágnes"
"http://dbpedia.org/resource/Gwen_Harwood","Gwendoline Nessie Foster"
"http://dbpedia.org/resource/Gwendolyn_B._Bennett","Gwendolyn Bennett Bennett"
"http://dbpedia.org/resource/Gwendolyn_Brooks","Gwendolyn Elizabeth Brooks"
"http://dbpedia.org/resource/Gwendolyn_MacEwen","Gwendolyn Margaret MacEwen"
"http://dbpedia.org/resource/György_Faludy","György Bernát József Leimdörfer"
"http://dbpedia.org/resource/Gérard_de_Nerval","Gérard Labrunie"
"http://dbpedia.org/resource/Günter_Grass","Günter Wilhelm Graß"
"http://dbpedia.org/resource/Jean_Arp","Hans Peter Wilhelm Arp"
"http://dbpedia.org/resource/Harivansh_Rai_Bachchan","Harivansh Rai Srivastava"
"http://dbpedia.org/resource/Hart_Crane","Harold Hart Crane"
"http://dbpedia.org/resource/Heinrich_Heine","Harry Heine"
"http://dbpedia.org/resource/Weldon_Kees","Harry Weldon Kees"
"http://dbpedia.org/resource/Hedwig_Gorski","Hedwig Irene Gorski"
"http://dbpedia.org/resource/Charles_Bukowski","Heinrich Karl Bukowski"
"http://dbpedia.org/resource/Heinrich_Böll","Heinrich Theodor Böll"
"http://dbpedia.org/resource/Helen_von_Kolnitz_Hyer","Helen von Kolnitz"
"http://dbpedia.org/resource/Henry_Lawson","Henry Archibald Hertzberg Lawson"
"http://dbpedia.org/resource/Béla_Balázs","Herbert Béla Bauer"
"http://dbpedia.org/resource/Herbert_Read","Herbert Edward Read"
"http://dbpedia.org/resource/Herman_Melville","Herman Melvill"
