"s","birthPlace"
"http://dbpedia.org/resource/L._S._Bevington","http://dbpedia.org/resource/Battersea"
"http://dbpedia.org/resource/Hans_Magnus_Enzensberger","http://dbpedia.org/resource/Bavaria"
"http://dbpedia.org/resource/Jill_Alexander_Essbaum","http://dbpedia.org/resource/Bay_City,_Texas"
"http://dbpedia.org/resource/Úrsula_Céspedes","http://dbpedia.org/resource/Bayamo"
"http://dbpedia.org/resource/Charles_Ghigna","http://dbpedia.org/resource/Bayside,_Queens"
"http://dbpedia.org/resource/Weldon_Kees","http://dbpedia.org/resource/Beatrice,_Nebraska"
"http://dbpedia.org/resource/Kurt_Boone","http://dbpedia.org/resource/Bedford–Stuyvesant,_Brooklyn"
"http://dbpedia.org/resource/Lorin_Morgan-Richards","http://dbpedia.org/resource/Beebetown,_Ohio"
"http://dbpedia.org/resource/Ramdhari_Singh_Dinkar","http://dbpedia.org/resource/Begusarai_district,_Bihar"
"http://dbpedia.org/resource/Alain_Tasso","http://dbpedia.org/resource/Beirut"
"http://dbpedia.org/resource/Derek_Mahon","http://dbpedia.org/resource/Belfast"
"http://dbpedia.org/resource/Louis_MacNeice","http://dbpedia.org/resource/Belfast"
"http://dbpedia.org/resource/C._S._Lewis","http://dbpedia.org/resource/Belfast"
"http://dbpedia.org/resource/Michael_Longley","http://dbpedia.org/resource/Belfast"
"http://dbpedia.org/resource/Hugo_Claus","http://dbpedia.org/resource/Belgium"
"http://dbpedia.org/resource/Georges_Rodenbach","http://dbpedia.org/resource/Belgium"
"http://dbpedia.org/resource/Jan_Theuninck","http://dbpedia.org/resource/Belgium"
"http://dbpedia.org/resource/Vojislav_Ilić","http://dbpedia.org/resource/Belgrade"
"http://dbpedia.org/resource/Sima_Pandurović","http://dbpedia.org/resource/Belgrade"
"http://dbpedia.org/resource/Charles_Simic","http://dbpedia.org/resource/Belgrade"
"http://dbpedia.org/resource/Milan_Rakić","http://dbpedia.org/resource/Belgrade"
"http://dbpedia.org/resource/Gavin_Ewart","http://dbpedia.org/resource/Bellshill"
"http://dbpedia.org/resource/Malcolm_Cowley","http://dbpedia.org/resource/Belsano,_Pennsylvania"
"http://dbpedia.org/resource/Zinaida_Gippius","http://dbpedia.org/resource/Belyov"
"http://dbpedia.org/resource/Jaishankar_Prasad","http://dbpedia.org/resource/Benares"
"http://dbpedia.org/resource/Jaishankar_Prasad","http://dbpedia.org/resource/Benares_State"
"http://dbpedia.org/resource/Toru_Dutt","http://dbpedia.org/resource/Bengal_Presidency"
"http://dbpedia.org/resource/Temsüla_Ao","http://dbpedia.org/resource/Bengal_Presidency"
"http://dbpedia.org/resource/Jibanananda_Das","http://dbpedia.org/resource/Bengal_Presidency"
"http://dbpedia.org/resource/Kazi_Nazrul_Islam","http://dbpedia.org/resource/Bengal_Presidency"
"http://dbpedia.org/resource/Suryakant_Tripathi","http://dbpedia.org/resource/Bengal_Presidency"
"http://dbpedia.org/resource/Dilwar_Khan","http://dbpedia.org/resource/Bengal_Presidency"
"http://dbpedia.org/resource/Michael_Madhusudan_Dutt","http://dbpedia.org/resource/Bengal_Presidency"
"http://dbpedia.org/resource/Rabindranath_Tagore","http://dbpedia.org/resource/Bengal_Presidency"
"http://dbpedia.org/resource/Ramdhari_Singh_Dinkar","http://dbpedia.org/resource/Bengal_Presidency"
"http://dbpedia.org/resource/Alda_Lara","http://dbpedia.org/resource/Benguela"
"http://dbpedia.org/resource/Ausiàs_March","http://dbpedia.org/resource/Beniarjó"
"http://dbpedia.org/resource/George_Wither","http://dbpedia.org/resource/Bentworth"
"http://dbpedia.org/resource/Basil_Bunting","http://dbpedia.org/resource/Benwell_and_Scotswood"
"http://dbpedia.org/resource/Joseph_Conrad","http://dbpedia.org/resource/Berdychiv"
"http://dbpedia.org/resource/William_Cowper","http://dbpedia.org/resource/Berkhamsted"
"http://dbpedia.org/resource/Ludwig_Tieck","http://dbpedia.org/resource/Berlin"
"http://dbpedia.org/resource/Erich_Mühsam","http://dbpedia.org/resource/Berlin"
"http://dbpedia.org/resource/Kurt_Tucholsky","http://dbpedia.org/resource/Berlin"
"http://dbpedia.org/resource/Andrea_Hollander_Budy","http://dbpedia.org/resource/Berlin,_Germany"
"http://dbpedia.org/resource/Daniele_Pantano","http://dbpedia.org/resource/Bern"
"http://dbpedia.org/resource/Victor_Hugo","http://dbpedia.org/resource/Besançon"
"http://dbpedia.org/resource/Deborah_Ager","http://dbpedia.org/resource/Bethesda,_Maryland"
"http://dbpedia.org/resource/H.D.","http://dbpedia.org/resource/Bethlehem,_Pennsylvania"
"http://dbpedia.org/resource/Helen_Dunmore","http://dbpedia.org/resource/Beverley"
"http://dbpedia.org/resource/Mary_Sidney","http://dbpedia.org/resource/Bewdley"
"http://dbpedia.org/resource/Tom_Raworth","http://dbpedia.org/resource/Bexleyheath"
"http://dbpedia.org/resource/Tapan_Kumar_Pradhan","http://dbpedia.org/resource/Bhubaneshwar"
"http://dbpedia.org/resource/Ferenc_Juhász_(poet)","http://dbpedia.org/resource/Biatorbágy"
"http://dbpedia.org/resource/Emil_Zegadłowicz","http://dbpedia.org/resource/Biała_Krakowska"
"http://dbpedia.org/resource/Syed_Mahmood_Khundmiri","http://dbpedia.org/resource/Bidar,_Karnataka"
"http://dbpedia.org/resource/Cor_van_den_Heuvel","http://dbpedia.org/resource/Biddeford,_Maine"
"http://dbpedia.org/resource/Robert_Walser_(writer)","http://dbpedia.org/resource/Biel/Bienne"
"http://dbpedia.org/resource/Jayanta_Mahapatra","http://dbpedia.org/resource/Bihar_and_Orissa_Province"
"http://dbpedia.org/resource/Miguel_de_Unamuno","http://dbpedia.org/resource/Bilbao"
"http://dbpedia.org/resource/Suman_Pokhrel","http://dbpedia.org/resource/Biratnagar"
"http://dbpedia.org/resource/A._S._J._Tessimond","http://dbpedia.org/resource/Birkenhead"
"http://dbpedia.org/resource/Adrian_Henri","http://dbpedia.org/resource/Birkenhead"
"http://dbpedia.org/resource/Benjamin_Zephaniah","http://dbpedia.org/resource/Birmingham"
"http://dbpedia.org/resource/Sue_Lenier","http://dbpedia.org/resource/Birmingham"
"http://dbpedia.org/resource/Jenny_Joseph","http://dbpedia.org/resource/Birmingham"
"http://dbpedia.org/resource/Margaret_Walker","http://dbpedia.org/resource/Birmingham,_Alabama"
"http://dbpedia.org/resource/Sonia_Sanchez","http://dbpedia.org/resource/Birmingham,_Alabama"
